gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,714.276173313499,1.46511806253013,0.574563172671774,2.54996862349739,0.0107732614398803,0.207206828881137,Not significant,product_only,hypothetical protein,CDS,,
malP,malP,Maltose phosphorylase,Maltose phosphorylase,malP / Maltose phosphorylase,4762.38577222473,-0.63406622911163,0.24980535076359,-2.53824118327912,0.0111411175365395,0.207206828881137,Not significant,gene_and_product,malP,CDS,,2.4.1.8
araN_1,araN_1,putative arabinose-binding protein,putative arabinose-binding protein,araN_1 / putative arabinose-binding protein,12111.6025091946,0.750476792667305,0.296589988520285,2.53035106279718,0.0113948450672463,0.207206828881137,Not significant,gene_and_product,araN_1,CDS,COG1653,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,8777.60305648716,0.50345216180632,0.199130764218353,2.52824903164771,0.0114633009607135,0.207206828881137,Not significant,product_only,hypothetical protein,CDS,,
opuCA_1,opuCA_1,Carnitine transport ATP-binding protein OpuCA,Carnitine transport ATP-binding protein OpuCA,opuCA_1 / Carnitine transport ATP-binding protein OpuCA,52.6116643475058,8.85560814036966,3.52050815164667,2.5154346358288,0.0118885719944017,0.210031438567764,Not significant,gene_and_product,opuCA_1,CDS,COG1125,7.6.2.9
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,12654.6422004243,-0.619930543192713,0.246344157975409,-2.51652220327708,0.0118519432247142,0.210031438567764,Not significant,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,5486.14898916047,0.850881045035726,0.341122556280435,2.49435585354907,0.0126185967398966,0.215737299101458,Not significant,product_only,hypothetical protein,CDS,,
pepF1_1,pepF1_1,Oligoendopeptidase F, plasmid,Oligoendopeptidase F, plasmid,pepF1_1 / Oligoendopeptidase F, plasmid,1503.45965587831,-0.930524424015798,0.372978023522275,-2.49485054167066,0.0126010193457946,0.215737299101458,Not significant,gene_and_product,pepF1_1,CDS,,3.4.24.-
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,170.34968872698,-2.43802378077253,0.974443436618129,-2.5019654185715,0.0123505987980822,0.215737299101458,Not significant,product_only,hypothetical protein,CDS,,
Putative universal stress protein,,Putative universal stress protein,Putative universal stress protein,Putative universal stress protein,1283.86277073031,1.35237074803327,0.54352504586088,2.48814798569453,0.0128410288026688,0.216275105190453,Not significant,product_only,Putative universal stress protein,CDS,,
