gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_00110,3479.34838702577,2.4135793151524,0.0967488790884999,24.9468452543477,2.31052442465639e-137,1.74699651952591e-136,gene,,,,E745S_00110,,,Up in Serum
E745S_01598,1880.7018765455,1.71488179315864,0.0687619143347311,24.9394131875189,2.78194559151727e-137,2.09799057432818e-136,gene,,,,E745S_01598,,,Up in Serum
E745S_00048,962.841581919287,2.21261758093064,0.0888389803635285,24.9059317416367,6.41691047511545e-137,4.82677684575222e-136,gene,,,,E745S_00048,,,Up in Serum
E745S_00646,363.420136999506,3.94542191648391,0.158487395792465,24.8942314734627,8.59123746946258e-137,6.44564233855814e-136,gene,,,,E745S_00646,,,Up in Serum
E745S_01075,2326.3822771938,1.64607114905721,0.0662994677401169,24.8278184601654,4.4902845358641e-136,3.36021035575846e-135,gene,cypC,,,cypC,,,Up in Serum
E745S_02937,531.432383856485,2.64441563782777,0.106611879431701,24.8041367615311,8.08937758680456e-136,6.03799439876617e-135,gene,,,,E745S_02937,,,Up in Serum
E745S_00957,384.822648830503,3.36388974893163,0.135793898087001,24.7720243421868,1.79546354697788e-135,1.33672490671422e-134,gene,,,,E745S_00957,,,Up in Serum
E745S_01150,505.383577205766,3.99066250789799,0.161970302359156,24.6382358356597,4.92014706994467e-134,3.65371125525738e-133,gene,licR_2,,,licR_2,,,Up in Serum
E745S_03025,8266.52688355775,1.58572836996665,0.0646100905902671,24.5430451417061,5.13157064861938e-133,3.79137110612463e-132,gene,,,,E745S_03025,,,Up in Serum
E745S_01985,1400.90174092211,1.97379638876753,0.0804303785591336,24.5404339023019,5.47177022529722e-133,4.03248686730132e-132,gene,,,,E745S_01985,,,Up in Serum
E745S_02418,12714.6846294645,1.58944490498236,0.0648263414819479,24.5185038773932,9.3785496794143e-133,6.87681564654283e-132,gene,,,,E745S_02418,,,Up in Serum
E745S_00976,330.142682914957,4.83148418861186,0.197870187727592,24.4174438003938,1.11639739429376e-131,8.14494439796774e-131,gene,,,,E745S_00976,,,Up in Serum
E745S_00142,615.352843378306,2.40674561846157,0.0990569386184543,24.2965879223446,2.13007162721058e-130,1.54629389197257e-129,gene,,,,E745S_00142,,,Up in Serum
E745S_02361,485.879266027504,2.83530154242349,0.117562412268533,24.1174154877595,1.64146561750126e-128,1.18274911201637e-127,gene,,,,E745S_02361,,,Up in Serum
E745S_02969,5871.82002944547,1.95578435715046,0.0817709930654753,23.9178256718055,1.99845307613444e-126,1.41890168405545e-125,gene,,,,E745S_02969,,,Up in Serum
E745S_00320,308.477988004943,4.07517143529102,0.170554773226084,23.8936229001873,3.56786407327454e-126,2.52702002854068e-125,gene,,,,E745S_00320,,,Up in Serum
E745S_02280,1006.87976312139,2.19096256663692,0.0917841966510167,23.8708039791145,6.15882256812618e-126,4.34100060431363e-125,gene,,,,E745S_02280,,,Up in Serum
E745S_00594,18785.2615659818,8.99919414930577,0.377238348599336,23.8554595064877,8.88792461665276e-126,6.2494561736899e-125,gene,purC,,,purC,,,Up in Serum
E745S_01831,1612.10027257714,2.29174105823888,0.0962466987444676,23.8111134006101,2.56222522079619e-125,1.7929417350331e-124,gene,dapH_2,,,dapH_2,,,Up in Serum
E745S_02064,4871.48597250092,1.44232576476038,0.0606505630245864,23.7809130341575,5.26346270598367e-125,3.67432612400922e-124,gene,,,,E745S_02064,,,Up in Serum
E745S_01298,1601.71249461698,1.67237385520793,0.0704467172919741,23.7395569232359,1.40856208697663e-124,9.80938812246167e-124,gene,mutS_1,,,mutS_1,,,Up in Serum
E745S_02478,3613.68193215022,1.69061137576966,0.0712581596035239,23.7251619348032,1.98337680148493e-124,1.37794984943261e-123,gene,gloA,,,gloA,,,Up in Serum
E745S_00630,962.348565179717,2.01400412662,0.0853086947841874,23.6084273908422,3.15776092392366e-123,2.16798161545797e-122,gene,,,,E745S_00630,,,Up in Serum
E745S_00488,51494.2030473078,1.48453903759281,0.063184274411341,23.4953879176992,4.546491307258e-122,3.10676905995963e-121,gene,tkt,,,tkt,,,Up in Serum
E745S_01083,550.672894292473,2.50454115482233,0.106644298072004,23.4849982615228,5.80576583216144e-122,3.95798228042669e-121,gene,,,,E745S_01083,,,Up in Serum
E745S_01957,2285.57643212653,2.05867030637569,0.0887901614738846,23.1857930225883,6.33407846968384e-119,4.2880238198255e-118,gene,licT_2,,,licT_2,,,Up in Serum
