,ERR1797972_pass,ERR1797973_pass,ERR1797974_pass,ERR1797969_pass,ERR1797970_pass,ERR1797971_pass
E745S_00493,19146,18155,15891,3953,4442,4218
E745S_00494,1174,1053,985,1863,1796,1665
E745S_00495,1651,1550,1346,1449,1728,1600
E745S_00496,2241,2146,1941,1018,1138,1127
E745S_00497,4796,4203,3821,8528,9584,8852
E745S_00498,15286,12159,10940,4392,5041,4792
E745S_00499,4370,4598,4053,26152,29209,27552
E745S_00500,3148,2981,2692,573,659,558
E745S_00501,22,23,22,26,19,28
E745S_00502,974,1028,858,710,845,739
E745S_00503,3957,3404,2837,659,787,728
E745S_00504,9069,8503,7827,719,881,727
E745S_00505,13157,15191,13128,848,1138,931
E745S_00506,5570,5852,5258,3652,3967,3822
E745S_00507,1067,1092,1095,325,390,404
E745S_00508,2008,1974,1835,988,1073,967
E745S_00509,365,364,352,214,269,193
E745S_00510,4436,4339,3901,2095,2350,2100
E745S_00511,1316,1498,1306,391,474,384
E745S_00512,1440,1343,1286,889,1066,1048
E745S_00513,980,848,830,479,587,530
E745S_00514,7072,6143,5341,4492,4658,4543
E745S_00515,4211,4519,4026,3381,3954,3821
E745S_00516,4952,4529,4301,1104,1332,1260
E745S_00517,15669,15148,13450,3476,3982,3514
E745S_00518,6497,6636,5897,747,863,731
E745S_00519,3583,3508,3380,4901,5869,5096
E745S_00520,9231,9364,8466,10680,11731,11209
E745S_00521,5316,5422,4651,6488,7424,7010
E745S_00522,2201,2508,2281,2356,2873,2578
E745S_00524,2163,2139,2282,967,1241,1106
E745S_00525,4485,5012,4346,1848,2359,2056
E745S_00526,478,644,569,87,114,110
E745S_00527,457,484,461,856,963,922
E745S_00528,364,411,348,511,584,597
E745S_00529,531,515,477,311,326,348
E745S_00530,1000,837,789,4543,4986,4667
E745S_00532,947,739,608,579,627,665
E745S_00533,174,133,117,24115,30765,25044
E745S_00534,696,559,428,1194,1327,1216
E745S_00535,1304,1245,1124,2254,2575,2400
E745S_00536,34,50,52,51,62,56
E745S_00537,209,184,175,1731,2006,1801
E745S_00538,71,68,57,675,728,714
E745S_00539,245,277,214,1586,1487,1517
E745S_00540,1573,1823,1582,3585,4961,4423
E745S_00542,189,174,166,232,285,247
E745S_00543,2819,2752,2477,6363,8247,7387
E745S_00544,1389,1268,1130,585,694,564
E745S_00545,1718,1810,1620,1339,1627,1413
E745S_00546,2443,2396,2204,2743,3128,3030
E745S_00547,1522,1867,1685,1282,1696,1404
E745S_00548,842,750,735,1111,1330,1217
E745S_00549,1460,1639,1698,380,543,447
E745S_00550,5079,5580,4897,921,1040,955
E745S_00551,696,759,709,269,326,335
E745S_00552,962,865,810,287,303,307
E745S_00553,10480,11362,10478,1409,2041,1921
E745S_00554,1380,1339,1254,1652,1848,1647
E745S_00555,373,404,357,896,1084,914
E745S_00556,665,593,567,367,489,435
E745S_00557,332,321,290,149,183,164
E745S_00558,185,158,174,92,103,85
E745S_00559,81,67,72,33,33,42
E745S_00560,3229,3149,2803,2039,2351,2255
E745S_00561,805,817,771,617,757,650
E745S_00562,1308,1372,1182,725,834,778
E745S_00563,2483,2550,2144,2565,2995,2807
E745S_00564,2048,1851,1699,1853,2214,1996
E745S_00565,4511,4589,4170,3722,4124,3760
E745S_00566,25980,22409,20804,16296,19133,16804
E745S_00567,6980,6855,6036,4146,4666,4201
E745S_00568,1340,1364,1135,875,1110,1004
E745S_00569,3502,3424,3141,1710,1903,1867
E745S_00570,25979,26567,24449,7343,8522,7613
E745S_00571,1585,1401,1213,689,808,759
E745S_00572,496,472,489,333,395,314
E745S_00573,11634,10791,9432,4332,4913,4044
E745S_00574,13817,13357,12093,4995,5456,4850
E745S_00575,5590,5745,4802,1519,1688,1556
E745S_00576,8726,9477,8052,1952,2286,2074
E745S_00577,547,452,445,496,584,534
E745S_00578,3211,2663,2623,2311,3039,2491
E745S_00579,20,13,13,11,27,22
E745S_00580,12,10,8,9,9,8
E745S_00581,11,3,11,3,3,1
E745S_00582,37,38,36,21,20,29
E745S_00583,40,49,43,40,36,44
E745S_00584,86,76,74,34,35,28
E745S_00585,1320,1274,1055,51175,61043,68842
E745S_00586,375,209,215,63471,72768,81020
E745S_00587,317,190,157,55564,61429,68056
E745S_00588,82,47,53,13542,14094,15658
E745S_00589,201,125,112,37966,44560,47281
E745S_00590,177,107,80,41886,47793,50952
E745S_00591,401,186,153,94865,107789,109433
E745S_00592,101,35,39,27058,30157,30437
E745S_00593,17,12,6,6454,7027,6908
E745S_00594,123,63,51,32268,37613,35727
E745S_00595,261,303,276,1718,2165,2003
E745S_00596,4266,4579,3817,45110,55558,48013
E745S_00597,1724,1714,1667,15792,17973,16297
E745S_00598,140,122,126,5209,6706,5293
E745S_00599,6084,6768,6053,11018,14149,11988
E745S_00600,3217,3090,2992,7232,8318,7599
E745S_00601,67,69,44,65,66,59
E745S_00602,6,20,18,13,18,20
E745S_00603,25,25,21,26,18,23
E745S_00604,13,17,20,13,20,24
E745S_00605,23,31,28,21,18,20
E745S_00606,2143,2072,1905,3644,3826,3608
E745S_00607,2333,2085,1942,3206,3438,3162
E745S_00608,4323,3942,3608,5686,6244,5802
E745S_00609,1170,957,995,1637,1539,1454
E745S_00610,1528,1515,1418,1418,1609,1445
E745S_00611,364,388,367,745,871,750
E745S_00612,260,244,268,221,234,222
E745S_00613,2202,2206,1941,4414,4672,4539
E745S_00614,581,453,460,1309,1429,1277
E745S_00615,69,56,67,802,971,895
E745S_00616,48,44,35,459,474,474
E745S_00617,56,47,49,342,333,344
E745S_00618,54,70,59,102,147,123
E745S_00619,16,16,25,10,15,20
E745S_00620,8159,8553,7449,4754,5376,5093
E745S_00621,3505,3347,3201,2579,2797,2525
E745S_00622,4676,4550,4247,3201,3602,3537
E745S_00623,84,77,95,80,103,80
E745S_00625,488,509,442,173,248,191
E745S_00626,372,378,403,209,274,238
E745S_00627,18,29,12,13,30,20
E745S_00628,379,437,413,198,285,268
E745S_00629,73,75,65,134,166,153
E745S_00630,424,435,369,1276,1666,1416
E745S_00631,786,768,691,816,903,855
E745S_00632,2582,2852,2493,3677,4604,4391
E745S_00633,381,349,349,1130,1164,1079
E745S_00634,256,274,216,656,754,670
E745S_00635,519,530,458,1101,1194,1173
E745S_00636,342,299,317,836,979,936
E745S_00637,1902,1934,1680,2588,3006,2542
E745S_00638,149,105,84,211,181,135
E745S_00639,1101,1061,945,1366,1578,1386
E745S_00640,1950,1958,1716,1766,2190,1782
E745S_00641,73,98,109,22,23,31
E745S_00642,2308,2612,2298,279,363,336
E745S_00643,2981,2890,3046,7032,8184,7005
E745S_00644,729,706,664,1178,1335,1223
E745S_00645,87,86,64,1071,1103,1139
E745S_00646,42,49,51,655,651,608
E745S_00647,546,534,532,896,898,891
E745S_00648,74,82,89,503,686,615
E745S_00649,1494,1485,1441,466,538,440
E745S_00650,8142,8309,7564,3153,3621,3262
E745S_00651,1790,1918,1674,691,703,754
E745S_00652,5845,6856,6427,2631,3029,3035
E745S_00653,19737,18800,17068,11238,12236,11075
E745S_00654,14375,13162,11285,5125,5956,5356
E745S_00655,1347,1222,1140,1368,1370,1201
E745S_00656,2759,2810,2566,1220,1501,1377
E745S_00657,3291,3641,3499,1698,2058,1707
E745S_00658,5626,6420,5009,2016,2563,2450
E745S_00659,10556,9938,8857,4027,4418,3711
